Node,Code,Fraction,Hydro,Biomass
FNQ,FNQ,1,1000,40
NSW,NSW,1,1000,40
NT,NT,1,1000,40
QLD,QLD,1,1000,40
SA,SA,1,1000,40
TAS,TAS,1,1000,40
VIC,VIC,1,1000,40
WA,WA,1,1000,40
