Node,Code,Fraction,Hydro,Biomass
FNQ,FNQ,1,0,0
NSW,NSW,1,2419.258,128.97
NT,NT,1,0,0
QLD,QLD,1,168.2,397.366
SA,SA,1,3.21,18.2
TAS,TAS,1,2287.6,6.626
VIC,VIC,1,2294.337,57.623
WA,WA,1,0,0
