Node,Code,Fraction,Hydro,Biomass
FNQ,FNQ,1,0,0
NSW,NSW,1,2419.3,129.0
NT,NT,1,0,0
QLD,QLD,1,168.2,397.4
SA,SA,1,3.2,18.2
TAS,TAS,1,2287.6,6.6
VIC,VIC,1,2294.3,57.6
WA,WA,1,0,0
